ra,dec,OBJECT_ID,parallax,parallax_error,phot_g_mean_mag
100.29772557001324,9.894042513145148,3326740453254116864,0.8933146973766272,0.18283834,17.987541
100.18695397307376,9.987266553496298,3326930389591563648,0.6058910536589315,0.44137686,19.672176
100.19682690447848,9.99696836018268,3326930423957990912,1.5634491616927628,1.3081498,20.536352
100.16947146054146,9.95133144498586,3326929809772913792,0.2507584443322752,0.07629864,17.16538
100.21002648688268,10.00626720716689,3326930527037211136,0.0993220744359914,1.1297351,20.517935
100.3161627949209,9.93177150166374,3326741376671105664,1.4646561308289965,0.5261082,19.80123
100.2726719592733,10.007933531010286,3326931179865342080,0.4936708815469189,0.26143873,18.774567
100.2432679817325,10.01503066341129,3326931970145923840,1.1968289415000677,0.9425846,20.167784
100.19490110549025,9.998317341868146,3326930428248197888,0.2421642416043865,0.111162394,17.345964
100.31483316977474,9.962898595528038,3326743129017439488,1.2902160555789843,0.46443418,19.062107
100.22668539810144,10.013819331436627,3326930496968220672,0.7091169958577841,0.21665567,18.455505
100.17720122754132,9.902574429607323,3326905272624530304,0.3884631779828054,0.19750388,18.621794
100.17786906160453,9.901458821417055,3326905272629208320,1.4491386093570182,0.48631656,19.699293
100.20870667436256,9.873350944147653,3326717466587119232,1.1343866330438626,0.38129526,19.260166
100.2639493713848,10.01327393537248,3326931248584816000,1.0860933773538282,0.2528751,18.701008
100.17122414166955,9.968304782227229,3326929912850812288,0.0420405104005151,0.9419996,20.598543
100.1781442024829,9.981965165462896,3326930011635962368,0.1717024114087746,0.12439192,17.686459
100.21202836056844,9.871187757740804,3326717260431680896,0.2841323253822287,0.5741662,19.826443
100.20714806965772,9.873403698371227,3326717462294179840,0.5650095136137199,0.116847314,17.385033
100.21895982480022,9.86831155957218,3326717256135796096,0.9621061309366954,0.2742104,15.37914
100.16549295271948,9.931997244523831,3326929015203768960,1.0932701036310124,0.56194204,19.76651
100.26730245142984,9.86813992242335,3326739937855993984,1.0111023080739032,0.3322461,18.296082
100.16931520179756,9.913593124913849,3326905483076854144,0.6751641781994848,0.2364568,18.899342
100.17705230819293,9.983464488939886,3326930011636227072,1.1809879135009025,0.4009732,19.614157
100.31870373219864,9.960424890683642,3326742922859280768,3.0904616244953727,1.164263,19.451538
100.21710597835586,10.014050928935402,3326930561390048896,0.0887664794132326,0.15598603,18.255024
100.1683600292063,9.91424571990362,3326905478783068800,0.0118250015006343,0.40877306,19.409134
100.16952550280932,9.970971698810995,3326929977276481024,0.5362370234952762,0.39772528,19.578913
100.1706695969772,9.97465858237579,3326929977276208000,0.8011127944973562,0.18545547,18.684309
100.21449148829126,9.865462581492606,3326717260431282560,1.744707164515366,0.53048307,19.4236
100.1705332666086,9.902999811091602,3326905272629132544,0.1278347384202551,0.14981116,18.034729
100.17859356346008,9.991513700371636,3326930389593101568,0.524455861290355,0.25713816,18.906124
100.18657385034568,10.000476905546051,3326930423958827648,1.385882137778124,1.4217628,20.48636
100.161219186773,9.95415839666335,3326929805477482624,0.0360003807715198,0.1406253,18.221807
