source_id,2MASS
3326741445390230784,06411197+0956562
3326741239231756416,06411242+0955001
3326739800419650944,06411257+0952311
3326931012363742464,06411270+0959446
3326743129017763328,06411275+0957486
3326740006577518848,06411282+0952433
3326931111145866112,06411285+1001042
3326741346607877248,06411322+0955086
3326741346606643840,06411322+0955086
3326739800419090176,06411330+0951544
3326741342316878720,06411365+0955370
3326741342310109056,06411380+0955439
3326740483318575616,06411430+0954045
3326742922864843776,06411443+0957178
3326740174081288960,06411485+0952343
3326931008066646144,06411489+0959537
3326739727404329088,06411509+0951179
3326931489102986112,06411518+1001364
3326743335177574784,06411521+0959071
3326740590693067520,06411532+0954509
3326743129017439488,06411555+0957465
3326741376671105664,06411587+0955545
3326931042428585728,06411587+1000219
3326740586397053312,06411612+0954326
3326739727409169664,06411614+0951505
3326743167671339904,06411619+0958387
3326931042426390784,06411621+1000482
3326742922859280768,06411648+0957376
3326740109656733440,06411651+0952131
3326742922864844544,06411662+0957132
3326931042426389120,06411675+1000548
3326739727404688128,06411676+0951479
3326743335175888000,06411691+0959158
3326740590694019328,06411696+0954428
3326742922858073344,06411700+0957120
3326740178376209536,06411709+0952405
3326740418894376704,06411714+0953398
3326931489102988800,06411720+1001321
3326740521973590656,06411725+0954323
3326740418892293632,06411727+0953456
3326740517683158912,06411760+0954237
3326740208441027968,06411792+0952541
3326931042428593920,06411797+1000416
3326742858435795968,06411810+0956358
3326742922859277824,06411814+0957106
3326743369537329280,06411821+0959571
3326739727405063296,06411839+0951325
3326740517677229056,06411862+0954074
3326740620762374272,06411906+0955057
3326742854139493376,06411907+0956239
3326743369535893888,06411915+0959456
3326743751789945472,06411937+1000480
3326740315813077760,06411940+0953489
3326742854139856000,06411945+0956338
3326931420383511040,06411945+1000549
3326743266458122496,06411954+0958584
3326743060298238720,06411996+0958358
3326743751788985600,06411996+1000422
3326743060299695488,06411997+0958317
3326743064594222592,06412028+0958295
3326740139721502336,06412029+0952285
3326743369535638656,06412041+0959552
3326742102519455232,06412060+0956309
3326740517677235840,06412063+0954249
3326740552037320192,06412082+0955247
3326743747492769024,06412097+1000194
3326740315815160832,06412110+0953281
3326743064594222080,06412142+0958355
3326740139720522880,06412147+0953016
3326742033802075392,06412185+0955337
3326740242805246592,06412214+0953221
3326740556333326720,06412229+0954520
3326740311524723456,06412253+0953591
3326740552038815488,06412260+0954438
3326743300817884800,06412261+0959190
3326740315815159296,06412262+0953495
3326743060299720192,06412292+0958280
3326743094657977472,06412305+0958403
3326743300816152064,06412325+0959233
3326742029507573376,06412337+0955291
3326743094657712896,06412351+0958585
3326742132586790400,06412356+0956577
3326743098953958528,06412370+0959091
3326743094657723008,06412383+0959275
3326743094659468288,06412388+0959104
3326740242799311360,06412420+0953429
3326742029506069248,06412422+0955178
3326742068161812096,06412424+0956092
3326740345880413056,06412500+0954251
3326742029505753088,06412564+0955351
3326742991580277504,06412589+0957429
3326742235664512000,06412592+0957248
3326742235664220032,06412593+0957153
3326742063865509760,06412598+0956228
3326742995874744704,06412610+0957459
3326742235664221568,06412615+0957213
