_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
100.21700200	+09.87050800	100.217002	+09.870508	06405208+0952138	13.095	0.023	12.395	0.024	12.213	0.028	AAA	222	111	000	0	0
100.20829700	+09.85353500	100.208297	+09.853535	06404999+0951127	14.878	0.040	14.237	0.043	13.938	0.064	AAA	222	111	000	0	0
100.20369800	+09.86234000	100.203698	+09.862340	06404888+0951444	9.521	0.024	9.129	0.026	8.477	0.027	AAA	222	111	000	0	0
100.22596600	+09.84827800	100.225966	+09.848278	06405423+0950538	12.562	0.024	11.910	0.030	11.717	0.030	AAA	222	111	000	0	0
100.21892000	+09.84959200	100.218920	+09.849592	06405254+0950585	14.190	0.035	13.452	0.027	13.234	0.034	AAA	222	111	000	0	0
100.21751400	+09.87532200	100.217514	+09.875322	06405220+0952311	13.733	0.026	12.987	0.024	12.741	0.037	AAA	222	111	000	0	0
100.16440400	+09.85607400	100.164404	+09.856074	06403945+0951218	16.372	0.126	15.026	0.078	14.609	0.099	BAA	222	111	000	0	0
100.16672100	+09.85130400	100.166721	+09.851304	06404001+0951046	12.881	0.038	11.585	0.032	11.079	0.026	AAA	222	111	000	0	0
100.16849100	+09.85069500	100.168491	+09.850695	06404043+0951025	14.016	0.034	13.326	0.035	13.067	0.035	AAA	222	111	0cc	0	0
100.16094500	+09.85682100	100.160945	+09.856821	06403862+0951245	16.372	0.122	15.545	0.107	15.140	0.166	BAC	222	111	p00	0	0
100.17435600	+09.86236500	100.174356	+09.862365	06404184+0951445	12.753	0.033	11.853	0.039	10.978	0.042	AAE	222	111	000	0	0
100.17513100	+09.85132100	100.175131	+09.851321	06404203+0951047	15.528	0.068	14.606	0.044	14.204	0.077	AAA	222	111	000	0	0
100.15876100	+09.85996100	100.158761	+09.859961	06403810+0951358	15.640	0.072	15.014	0.071	14.697	0.114	AAB	222	111	000	0	0
100.18062900	+09.84987500	100.180629	+09.849875	06404335+0950595	12.568	0.028	11.953	0.026	11.725	0.028	AAA	222	111	000	0	0
100.17513400	+09.86538300	100.175134	+09.865383	06404203+0951553	16.938	0.231	16.003	0.195	15.457	0.221	DCD	222	111	ccc	0	0
100.17215600	+09.85065900	100.172156	+09.850659	06404131+0951023	12.806	0.027	12.024	0.024	11.713	0.021	AAA	222	111	000	0	0
100.19259500	+09.86114700	100.192595	+09.861147	06404622+0951401	14.432	0.036	13.743	0.035	13.295	0.046	AAA	222	111	000	0	0
100.18974000	+09.85641300	100.189740	+09.856413	06404553+0951230	12.007	0.023	10.835	0.026	10.367	0.028	AAA	222	111	000	0	0
100.18776900	+09.85769300	100.187769	+09.857693	06404506+0951276	14.147	0.044	13.496	0.052	13.233	0.055	AAA	222	111	0cc	0	0
100.20717600	+09.87340700	100.207176	+09.873407	06404972+0952242	14.188	0.050	13.408	0.049	13.099	0.057	AAA	222	111	000	0	0
100.20868100	+09.87431000	100.208681	+09.874310	06405008+0952275	13.572	0.036	13.007	0.039	12.660	0.046	AAA	222	111	000	0	0
100.20666800	+09.87149300	100.206668	+09.871493	06404960+0952173	15.156	0.046	14.468	0.056	14.184	0.074	AAA	222	111	000	0	0
100.19093000	+09.86961300	100.190930	+09.869613	06404582+0952106	15.843	0.100	14.559	0.051	14.278	0.071	AAA	222	111	000	0	0
100.21171700	+09.88265500	100.211717	+09.882655	06405081+0952575	15.184	0.054	14.464	0.044	13.956	0.056	AAA	222	111	000	0	0
100.21192300	+09.87771900	100.211923	+09.877719	06405086+0952397	15.122	0.051	14.492	0.044	14.094	0.069	AAA	222	111	000	0	0
100.20910300	+09.87970500	100.209103	+09.879705	06405018+0952469	15.360	0.053	14.399	0.032	14.088	0.065	AAA	222	111	000	0	0
100.20568300	+09.88166300	100.205683	+09.881663	06404936+0952539	15.834	0.092	14.135	0.039	12.718	0.037	AAA	222	111	000	0	0
100.19563800	+09.87794400	100.195638	+09.877944	06404695+0952405	14.749	0.043	14.057	0.048	13.413	0.052	AAA	222	111	000	0	0
100.19616000	+09.89191100	100.196160	+09.891911	06404707+0953308	15.652	0.071	15.059	0.088	14.763	0.120	AAB	222	111	000	0	0
100.19671100	+09.88588400	100.196711	+09.885884	06404721+0953091	14.607	0.040	13.909	0.032	13.769	0.044	AAA	222	111	000	0	0
100.20728700	+09.88295400	100.207287	+09.882954	06404974+0952586	14.204	0.032	13.560	0.032	13.334	0.046	AAA	222	111	000	0	0
100.27071000	+09.84613500	100.270710	+09.846135	06410497+0950460	12.244	0.024	11.539	0.026	11.090	0.031	AAA	222	111	000	0	0
100.27127400	+09.84173500	100.271274	+09.841735	06410510+0950302	15.152	0.053	14.579	0.050	14.359	0.089	AAA	222	111	000	0	0
100.28401000	+09.85274800	100.284010	+09.852748	06410816+0951098	15.426	0.053	13.226	0.023	12.088	0.033	AAA	222	111	000	0	0
