_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.261831 9.922831 06410283+0955221 14.561 13.927 13.615
100.257472 9.929187 06410179+0955450 15.923 0.155 0.211
100.272297 9.932296 06410535+0955562 15.259 14.655 14.379
100.270745 9.928772 06410497+0955435 17.452 0.263 0.172
100.272288 9.928302 06410534+0955418 15.051 13.129 12.219
100.257207 9.930948 06410172+0955514 13.279 12.537 12.299
100.264767 9.925567 06410354+0955320 15.609 14.402 13.961
100.25338 9.929259 06410081+0955453 17.15 15.804 15.354
100.277875 9.936448 06410669+0956112 15.273 14.66 14.372
100.26401 9.948028 06410336+0956529 13.814 13.193 13.035
100.270929 9.959874 06410502+0957355 18.369 0.204 0.148
100.280967 9.970487 06410743+0958137 17.288 0.111 0.136
100.281162 9.946859 06410747+0956486 17.077 0.079 0.060
100.294588 9.961793 06411070+0957424 13.474 12.763 12.508
100.272865 9.948177 06410548+0956534 14.408 13.775 13.615
100.287191 9.946566 06410892+0956476 15.191 14.601 14.322
100.356834 9.926423 06412564+0955351 15.443 14.75 14.607
100.347395 9.924776 06412337+0955291 16.836 15.911 15.471
100.351002 9.935896 06412424+0956092 11.979 11.451 11.137
100.350926 9.921623 06412422+0955178 16.742 15.998 15.428
100.34105 9.926049 06412185+0955337 13.515 12.541 12.137
100.358286 9.939676 06412598+0956228 15.333 14.639 14.224
100.348171 9.949387 06412356+0956577 16.304 15.245 14.885
100.335855 9.941921 06412060+0956309 16.326 15.232 14.890
100.358002 9.95689 06412592+0957248 15.779 14.889 14.732
100.358072 9.954254 06412593+0957153 13.782 13.16 12.821
100.358992 9.955943 06412615+0957213 15.915 15.335 14.923
100.310146 9.954958 06411443+0957178 16.374 15.156 14.884
100.310963 9.957306 06411463+0957263 16.892 16.347 15.285
100.329493 9.939985 06411907+0956239 14.272 13.013 12.460
100.33107 9.94274 06411945+0956338 15.944 14.84 14.423
100.325612 9.952962 06411814+0957106 16.52 15.48 15.084
100.325437 9.943295 06411810+0956358 10.332 8.95 8.370
100.320874 9.953351 06411700+0957120 10.48 10.235 10.149
100.318682 9.96047 06411648+0957376 15.396 14.28 13.921
100.319286 9.953676 06411662+0957132 14.108 13.51 13.282
100.333177 9.976612 06411996+0958358 15.707 14.787 14.358
100.333239 9.975498 06411997+0958317 14.425 0.158 UCU
100.334514 9.974885 06412028+0958295 12.877 12.258 11.925
100.357912 9.961937 06412589+0957429 16.555 15.614 14.896
100.358769 9.962757 06412610+0957459 16.799 15.891 15.323
100.349541 9.986224 06412388+0959104 16.107 14.466 0.125
100.345508 9.974446 06412292+0958280 16.474 15.479 15.136
100.348757 9.985882 06412370+0959091 15.809 14.44 0.113
100.346055 9.977887 06412305+0958403 15.096 14.449 13.969
100.339255 9.976543 06412142+0958355 11.77 11.248 11.138
100.347982 9.982926 06412351+0958585 15.876 15.234 14.916
100.34931 9.990996 06412383+0959275 14.435 13.779 13.390
100.311388 9.971356 06411473+0958168 16.839 15.573 15.076
