OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326741003009940096,06404780+0953552,100.199193,9.898689,11.682,11.102,10.726
3326929088217090560,06404788+0956487,100.199536,9.94687,15.919,15.145,14.722
3326930733188741120,06404794+1001027,100.199753,10.017428,15.01,14.658,14.397
3326717049977363328,06404798+0950260,100.199928,9.840556,14.016,13.217,12.828
3326930733188741760,06404798+1001224,100.199952,10.022906,13.918,13.349,13.127
3326717122991781504,06404801+0951151,100.200053,9.854212,15.625,15.166,14.902
3326741003009940608,06404809+0953393,100.200395,9.894265,13.497,12.899,12.726
3326928774683852544,06404810+0955369,100.200436,9.926923,14.702,14.121,13.709
3326930320872085760,06404816+0959118,100.200679,9.986623,15.52,14.88,14.534
3326930355231810944,06404840+0959392,100.201671,9.994237,14.713,14.132,13.812
3326930531326084224,06404852+1000476,100.202187,10.013243,16.25,15.62,15.233
3326717226070995328,06404888+0951444,100.203698,9.86234,9.521,9.129,8.477
3326929191297618944,06404904+0957450,100.204343,9.962521,13.064,12.008,11.615
3326740998714965248,06404911+0954031,100.204635,9.900865,14.118,13.567,13.278
3326928705964374528,06404912+0955129,100.204683,9.920276,14.135,13.309,12.927
3326929118281227008,06404921+0957387,100.205051,9.960768,13.574,12.738,12.369
3326928705964373376,06404926+0954430,100.205291,9.911968,14.743,14.126,13.875
3326929569254739584,06404932+0958514,100.205511,9.980949,15.241,14.486,14.270
3326717462294180992,06404936+0952539,100.205683,9.881663,15.834,14.135,12.718
3326740998714107008,06404953+0953230,100.206398,9.889729,10.918,10.861,10.780
3326717462294178944,06404960+0952173,100.206668,9.871493,15.156,14.468,14.184
3326930767555080576,06404961+1001140,100.206736,10.020565,16.902,15.962,16.439
3326929118281225216,06404962+0956531,100.20679,9.948102,13.486,12.981,12.819
3326717462294179840,06404972+0952242,100.207176,9.873407,14.188,13.408,13.099
3326717466589159424,06404974+0952586,100.207287,9.882954,14.204,13.56,13.334
3326928710259976064,06404981+0955079,100.207557,9.918879,15.868,14.912,14.398
3326717221776056448,06404999+0951127,100.208297,9.853535,14.878,14.237,13.938
3326717466589160832,06405008+0952275,100.208681,9.87431,13.572,13.007,12.660
3326929118281225600,06405014+0957039,100.208918,9.951107,13.823,13.077,12.843
3326717462294180736,06405018+0952469,100.209103,9.879705,15.36,14.399,14.088
3326929564957826944,06405021+0958316,100.209235,9.975471,15.626,15.232,14.839
3326930565687147904,06405029+1001043,100.209572,10.017871,13.423,12.751,12.495
3326741037369677312,06405033+0954158,100.209716,9.904407,13.028,12.403,12.105
3326717049977363712,06405034+0950391,100.209778,9.844196,15.372,14.836,14.410
3326928809043590656,06405047+0955307,100.210323,9.925221,15.707,14.911,14.561
3326932245017322752,06405057+1002181,100.210729,10.038374,16.234,15.415,15.142
3326928705964373888,06405059+0954573,100.210806,9.91593,12.466,11.688,11.276
3326929118281225856,06405066+0957099,100.211095,9.952755,15.538,14.999,14.698
3326740930000006272,06405069+0953207,100.211245,9.889099,16.58,15.753,15.129
3326717049977363200,06405076+0950253,100.211512,9.840371,12.22,10.895,10.222
3326717462294181120,06405081+0952575,100.211717,9.882655,15.184,14.464,13.956
3326717462294228224,06405086+0952397,100.211923,9.877719,15.122,14.492,14.094
3326928882059976576,06405086+0955530,100.211927,9.931408,12.863,12.187,11.969
3326717260431680896,06405089+0952163,100.212042,9.871216,16.174,15.307,14.940
3326741037367624704,06405094+0954328,100.212259,9.909133,14.297,13.219,12.801
3326741037369677184,06405105+0954076,100.212733,9.902127,16.775,15.922,15.201
3326717153056578688,06405113+0950379,100.213079,9.843869,14.514,13.844,13.325
3326930771845575808,06405116+1001439,100.213173,10.028868,8.909,8.971,8.930
3326928813339187584,06405122+0955233,100.213442,9.923155,16.142,15.008,14.692
3326740934288416768,06405130+0953287,100.213763,9.891327,15.35,14.777,14.496
3326930565687147008,06405135+1001083,100.213983,10.018983,16.251,15.495,14.946
3326930565685818880,06405135+1001083,100.213983,10.018983,16.251,15.495,14.946
3326717256140270848,06405138+0952012,100.214098,9.867016,15.265,14.367,13.776
3326932313736717312,06405138+1003030,100.214093,10.050844,14.493,13.827,13.689
3326740934288416896,06405141+0953243,100.214214,9.890094,14.687,14.077,13.881
3326717260431282560,06405148+0951557,100.214518,9.86548,15.261,15.025,14.465
3326717260430731648,06405155+0951494,100.2148,9.863736,9.376,9.47,9.429
3326717221776057600,06405156+0951275,100.214843,9.857639,15.253,14.163,13.613
3326929564957841152,06405161+0958191,100.215081,9.971991,15.895,14.9,14.738
3326929564964235136,06405178+0958241,100.215775,9.973366,16.436,15.401,14.936
3326928705964382848,06405182+0954567,100.215946,9.915769,16.259,14.963,14.393
3326930458310832384,06405186+0959582,100.2161,9.999519,16.598,15.762,15.184
3326717260430729984,06405208+0952138,100.217002,9.870508,13.095,12.395,12.213
3326930561390048896,06405211+1000506,100.217131,10.014064,15.572,15.118,14.721
3326928916419712896,06405219+0956433,100.217481,9.945367,14.156,13.385,13.236
3326717260430728832,06405220+0952311,100.217514,9.875322,13.733,12.987,12.741
3326928912122809472,06405240+0956365,100.218364,9.943497,15.413,14.239,13.878
3326932352392205184,06405245+1003168,100.218544,10.054681,16.524,15.635,15.303
3326717157351518336,06405254+0950585,100.21892,9.849592,14.19,13.452,13.234
3326717256135796096,06405255+0952059,100.218973,9.868331,12.689,11.97,11.724
3326930458310836224,06405261+1000237,100.219236,10.006597,16.958,15.858,15.384
3326928912129206272,06405286+0956566,100.220281,9.949064,16.937,15.974,15.369
3326740929995534464,06405300+0953236,100.220871,9.889906,15.343,14.702,14.305
3326740934290462976,06405302+0952594,100.220934,9.883183,13.404,12.673,12.463
3326717157349479040,06405315+0950501,100.221495,9.847253,15.033,14.425,14.145
3326932279376978816,06405316+1003025,100.221524,10.050722,15.233,14.488,14.143
3326716298357379200,06405322+0949437,100.221786,9.828828,15.51,14.845,14.445
3326741136153966592,06405341+0954436,100.222548,9.912136,14.888,14.223,14.248
3326929496244758656,06405341+0958017,100.222547,9.967142,15.552,15.007,14.673
3326930561390049536,06405364+1001087,100.22354,10.019098,16.273,15.816,15.042
3326929500535262464,06405367+0958000,100.223633,9.966681,13.814,13.078,12.860
3326717157351517440,06405395+0950580,100.224793,9.849459,14.273,13.607,13.458
3326740728129988096,06405410+0952245,100.225454,9.873486,15.336,14.883,14.334
